id,question,answer
1,Bakit masama ang salt sa tao?,Cause its a sin
2,Anong pinaka malaking nunal sa buong asia?,Mole of Asia 🥰
3,Anong anime ang favorite ng mga Muslim?,Eh di Islam Dunk
4,What kind of cat should you never trust?,A cheetah
5,When does a joke become a dad joke?,When its fully groan
6,ano tawag sa bagong cr?,edi banew!
7,"What did the sea said to the other sea?","Nothing, they just waved!"
8,"Anong tae ang hindi ka sigurado?","Edu yung unpredictubol!"
9,"Bakit may black eye yung juice?","Kasi nasa pack siya!"
10,"Ano ang kabaliktaran ng kaluluwa?","Kalulunok"
